theta,alpha_xx_opt,best_delta_theta,sql,ratio,expectation_Jz,variance_Jz,count_below_sql,total_points,fraction_below_sql
0.1,0,0.1,0.1,1,-0.2701511529,0.1770183546,0,2001,0
0.2,0,0.1,0.1,1,0.2080734183,0.2067054526,0,2001,0
0.3,0,0.1,0.1,1,0.4949962483,0.004978714169,0,2001,0
0.4,0,0.1,0.1,1,0.3268218104,0.1431875042,0,2001,0
0.5,0,0.1,0.1,1,-0.1418310927,0.2298839411,0,2001,0
0.6,0,0.1,0.1,1,-0.4800851433,0.01951825516,0,2001,0
0.7,0,0.1,0.1,1,-0.3769511272,0.1079078477,0,2001,0
0.8,0,0.1,0.1,1,0.0727500169,0.244707435,1,2001,0.0004997501249
0.9,0,0.1,0.1,1,0.4555651309,0.04246041147,0,2001,0
1,0,0.1,0.1,1,0.4195357645,0.07398974227,0,2001,0
1.1,0,0.1,0.1,1,-0.002212848994,0.2499951033,0,2001,0
1.2,0,0.1,0.1,1,-0.4219269794,0.07197762408,0,2001,0
1.3,0,0.1,0.1,1,-0.4537233907,0.04413508471,0,2001,0
1.4,0,0.1,0.1,1,-0.0683686091,0.2453257333,0,2001,0
1.5,0,0.1,0.1,1,0.3798439564,0.1057185688,0,2001,0
1.6,0,0.1,0.1,1,0.4788297402,0.02072207994,0,2001,0
1.7,0,0.1,0.1,1,0.137581669,0.2310712843,0,2001,0
1.8,0,0.1,0.1,1,-0.3301583541,0.1409954612,0,2001,0
1.9,0,0.1,0.1,1,-0.4943523091,0.005615794494,0,2001,0
2,0,0.09999999999,0.1,0.9999999999,-0.2040410309,0.2083672577,1,2001,0.0004997501249
2.1,0,0.09999999999,0.1,0.9999999999,0.2738646301,0.1749981644,1,2001,0.0004997501249
2.2,0,0.09999999999,0.1,0.9999999999,0.4999804132,1.958641904e-05,1,2001,0.0004997501249
2.3,0,0.09999999999,0.1,0.9999999999,0.2664165102,0.1790222431,1,2001,0.0004997501249
2.4,0,0.09999999999,0.1,0.9999999999,-0.2120895037,0.2050180424,1,2001,0.0004997501249
2.5,0,0.09999999997,0.1,0.9999999997,-0.4956014059,0.004379246438,1,2001,0.0004997501249
2.6,0,0.09999999999,0.1,0.9999999999,-0.3234596612,0.1453738476,1,2001,0.0004997501249
2.7,0,0.09999999999,0.1,0.9999999999,0.1460694044,0.2286637291,1,2001,0.0004997501249
2.8,0,0.09999999999,0.1,0.9999999999,0.4813029332,0.01834748653,1,2001,0.0004997501249
2.9,0,0.09999999999,0.1,0.9999999999,0.3740287648,0.1101024831,1,2001,0.0004997501249
3,0,0.09999999997,0.1,0.9999999997,-0.07712572494,0.2440516226,1,2001,0.0004997501249
3.1,0,0.09999999999,0.1,0.9999999999,-0.4573711789,0.04081160471,1,2001,0.0004997501249
3.2,0,0.09999999999,0.1,0.9999999999,-0.4171116803,0.0760178462,1,2001,0.0004997501249
3.3,0,0.09999999997,0.1,0.9999999997,0.006638373612,0.249955932,1,2001,0.0004997501249
3.4,0,0.09999999997,0.1,0.9999999997,0.4242851374,0.06998212219,1,2001,0.0004997501249
3.5,0,0.09999999997,0.1,0.9999999997,0.4518461025,0.04583509961,1,2001,0.0004997501249
3.6,0,0.09999999997,0.1,0.9999999997,0.06398184481,0.2459063235,1,2001,0.0004997501249
3.7,0,0.09999999997,0.1,0.9999999997,-0.382707026,0.1035353323,1,2001,0.0004997501249
3.8,0,0.09999999997,0.1,0.9999999997,-0.477536822,0.02195858361,1,2001,0.0004997501249
3.9,0,0.09999999997,0.1,0.9999999997,-0.1333214662,0.2322253867,1,2001,0.0004997501249
4,0,0.09999999997,0.1,0.9999999997,0.3334690308,0.1387984055,1,2001,0.0004997501249
4.1,0,0.1,0.1,1,0.4936696388,0.006290287765,1,2001,0.0004997501249
4.2,0,0.09999999997,0.1,0.9999999997,0.1999926575,0.2100029369,1,2001,0.0004997501249
4.3,0,0.09999999997,0.1,0.9999999997,-0.2775566508,0.1729623056,1,2001,0.0004997501249
4.4,0,0.1,0.1,1,-0.4999216543,7.833953811e-05,0,2001,0
4.5,0,0.09999999997,0.1,0.9999999997,-0.2626609944,0.181009202,1,2001,0.0004997501249
4.6,0,0.1,0.1,1,0.2160889724,0.203305556,0,2001,0
4.7,0,0.09999999998,0.1,0.9999999998,0.4961677346,0.003817579166,1,2001,0.0004997501249
4.8,0,0.09999999997,0.1,0.9999999997,0.3200721697,0.1475538062,1,2001,0.0004997501249
4.9,0,0.1,0.1,1,-0.1502962719,0.2274110307,0,2001,0
5,0,0.09999999997,0.1,0.9999999997,-0.4824830142,0.01721014096,1,2001,0.0004997501249
